title,date,body,original_link,name
Why Biodiesel? — Biodiesel and Its International Impact,2006/07,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Why Biodiesel? — Biodiesel and Its International Impact&quot;</h1>
 <div class=""bodyCopy"">
   March 6th&nbsp;
  <br />Brian He 
  <br />Biological and Agricultural Engineering 
  <br />
  <br />Abstract: Global oil reserves are in decline, markets are becoming more competitive, many of the oil producing countries are becoming unstable and global warming issues are looming large on the horizon. As these problems escalate and diesel prices exceed three dollars a gallon in the U.S., biodiesel is getting unprecedented attention. Biodiesel from vegetable oils has been shown to be the best supplement to fossil-based fuels due to environmental advantages, renewable resource availability, and ability to lessen the dependence on imported oils. Biodiesel is one of the hottest topics globally. What so good about biodiesel? Can it be all biodiesel? What is the status of biodiesel production &amp; utilization in the U.S. and rest of the world? 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/he,he
The Use of Human Cadavers in Undergraduate Coursework,2006/07,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;The Use of Human Cadavers in Undergraduate Coursework&quot;</h1>
 <div class=""bodyCopy"">
   April 17th&nbsp;
  <br />Candi Heimgartner 
  <br />Biological Sciences 
  <br />
  <br />Abstract: Only 37% of four-year educational institutions in the US currently use human cadavers as study specimen in undergraduate coursework, one of which includes the UI. This discussion will encompass the use of human cadavers in undergraduate courses across the US, the application of the 1988 Uniform Anatomy Act to educational body donation and the specifics of the undergraduate anatomy cadaver lab based at the UI. Following the discussion, opportunities will be provided for attendees to view UI cadavers as well as specimen typically used in undergraduate coursework at other institutions. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/heimgartner,heimgartner
The Building Sustainable Communities Initiative: A New University and Community Partnership,2006/07,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle ""> &quot;The Building Sustainable Communities Initiative: A New University and Community Partnership&quot;</h1>
 <div class=""bodyCopy"">
   November 28th&nbsp;
  <br />Steve Hollenhorst 
  <br />Conservation Social Sciences Steve Drown Landscape Architecture 
  <br />
  <br />Abstract: Funded as a part of President White's Strategic Re-Investment Initiative, the project involves creation of three interdependent programs: 1) an academic program in bioregional planning and community design, including an interdisciplinary graduate degree, graduate certificate, and courses for other majors; 2) a Learning and Practice Collaborative that engages UI faculty and students to assist communities with sustainable community planning and development; and 3) a Collaborative for Effective Planning and Governance that delivers non-credit training to improve the competencies of local elected leaders and professionals to plan and manage community resources for sustainable futures. We will discuss the implications of the initiative for Idaho and the region, plans for implementation, and opportunities for faculty, staff, student, and community involvement. 
  <br />
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/hollenhorst,hollenhorst
Teaching on Tribal Lands,2006/07,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Teaching on Tribal Lands&quot;</h1>
 <div class=""bodyCopy"">
   February 27th&nbsp;
  <br />Georgia Johnson - Curriculum and Instruction 
  <br />Janis Johnson - American Indian Studies and English 
  <br />
  <br />Abstract: Core Discovery courses have been a provocative interdisciplinary learning experience for a range of U. of I. students; when two students who had an excellent experience in their Core Discovery courses approached the faculty of American Indian Studies to work with them on a proposal for a Core course involving tribal histories and cultures, we entered into a very challenging and unique curricular, pedagogical and epistemological teaching and learning space. Our discussion will briefly describe the genesis, construction, and instruction of teaching on tribal lands. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/johnson,johnson
The Ecology of War,2006/07,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;The Ecology of War&quot;</h1>
 <div class=""bodyCopy"">
   February 6th&nbsp; 
  <br />Gary Machlis 
  <br />College of Natural Resources 
  <br />
  <br />Abstract: The restoration of severely degraded ecosystems represents one of the grand challenges of the 21st century. Among human activities, war is common, almost constant, and far-reaching in its impact on the environment. This seminar presentation introduces the interdisciplinary ecology of warfare, provides a set of historical and contemporary examples from around the world, and explores the research needs and policy implications that emerge from the ecological study of warfare. 
  <br />
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/machlis,machlis
Spring 2007,2006/07,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">Spring 2007</h1>
 <div class=""bodyCopy""> 
  <u>
   January 30th&nbsp;
  </u> 
  <br />Steve Hollenhorst - Conservation Social Sciences&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/caa/landscapearchitecture/faculty/stephendrown"" title=""Stephen Drown"">Steve Drown</a> - Landscape Architecture
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/hollenhorst"" title="" &quot;The Building Sustainable Communities Initiative: A New University and Community Partnership&quot;"">&quot;The Building Sustainable Communities Initiative: A New University and Community Partnership&quot;&nbsp; </a>
  <br />
  <br />
  <u>
   February 6th&nbsp;
   <br />
  </u>
  <a href=""http://www.uidaho.edu/cnr/frfs/garymachlis"" title=""Gary Machlis"">Gary Machlis</a> - College of Natural Resources 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/machlis"" title=""&quot;The Ecology of War&quot;"">&quot;The Ecology of War&quot; </a>
  <br />
  <br />
  <u>
   February 13th&nbsp; 
   <br />
  </u>
  <a href=""http://www.uidaho.edu/sci/physics/physics-faculty/youqiang"" title=""You Qiang"">You Qiang </a>- Physics 
  <br />&quot;Novel Magnetic Nanoparticles and Their Global Applications&quot;
  <br />
  <br />
  <u>
   February 20th
  </u>&nbsp;&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/class/music/danielbukvich"" title=""Daniel Bukvich"">Dan Bukvich</a> &amp; Friends - Lionel Hampton School of Music
  <br />&quot;Beat It!&quot;&nbsp; 
  <br />
  <br />
  <u>
   February 27th 
   <br />
  </u>Georgia Johnson -&nbsp;Curriculum and Instruction
  <br />
  <a href=""http://www.uidaho.edu/class/english"" title=""English"">Janis Johnson</a>&nbsp;- American Indian Studies and English
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/johnson"" title=""&quot;Teaching on Tribal Lands&quot;"">&quot;Teaching on Tribal Lands&quot;&nbsp;</a>
  <br />
  <br />
  <u>
   March 6th
  </u>&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/cals/bae/faculty/brianhe"" title=""Brian He"">Brian He</a> - Biological and Agricultural Engineering 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/he"" title=""&quot;Why Biodiesel? — Biodiesel and Its International Impact&quot;"">&quot;Why Biodiesel? — Biodiesel and Its International Impact&quot; </a>
  <br />
  <br />
  <u>
   March 20th&nbsp;
  </u>
  <br />
  <a href=""http://www.uidaho.edu/sci/geology/faculty/mickeygunter"" title=""Mickey Gunter"">Mickey Gunter</a>- Geological Sciences 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/gunter"" title=""&quot;Risk of Fear vs. Fear of Risk: A Physical Scientist Trying to do Social Science&quot;"">&quot;Risk of Fear vs. Fear of Risk: A Physical Scientist Trying to do Social Science&quot;</a>
  <br />
  <br />
  <u>
   March 27th 
   <br />
  </u>Mike Whiteman - International Programs 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/whiteman"" title=""&quot;Internationalizing the University of Idaho—Opportunities and Challenges&quot;"">&quot;Internationalizing the University of Idaho—Opportunities and Challenges&quot; <br /></a>
  <br />
  <u>
   April 3rd&nbsp;
   <br />
  </u>
  <a href=""http://www.uidaho.edu/cnr/fishwild/briandennis"" title=""Brian Dennis"">Brian Dennis</a> - Fish and Wildlife Resources and Statistics 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/dennis"" title=""&quot;What would you prefer: taking a statistics course, or a root canal?&quot;"">&quot;What would you prefer: taking a statistics course, or a root canal?&quot; </a>
  <br />
  <br />
  <u>
   April 17th
  </u>&nbsp;&nbsp; 
  <br />Candi Heimgartner- Biological Sciences 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/heimgartner"" title=""&quot;The Use of Human Cadavers in Undergraduate Coursework&quot;"">&quot;The Use of Human Cadavers in Undergraduate Coursework&quot;</a>
  <br />
  <br />
  <u>
   April 24th
  </u>&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/engr/ece/faculty/atkinson"" title=""David Atkinson"">David Atkinson</a> - Electrical and Computer Engineering 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/atkinson"" title=""&quot;The Solar System as a Laboratory—Exploration of the Giant Planets&quot;"">&quot;The Solar System as a Laboratory—Exploration of the Giant Planets&quot; </a>
  <br />
  <br />
  <u>
   May 1st 
  </u>
  <br />Jeannie Harvey - Women’s Center
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/harvey"" title=""&quot;WID, GAD, WHAT? A Bangladesh Gender Audit Case Study&quot;"">&quot;WID, GAD, WHAT? A Bangladesh Gender Audit Case Study&quot;</a>
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007,spring2007
Internationalizing the University of Idaho—Opportunities and Challenges,2006/07,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Internationalizing the University of Idaho—Opportunities and Challenges&quot;</h1>
 <div class=""bodyCopy"">
   March 27th&nbsp; 
  <br />Mike Whiteman 
  <br />International Programs 
  <br />
  <br />Abstract: We would like to visit with those in attendance about ways in which faculty can become involved in the process of internationalizing the campus. This will include discussion of faculty-led study abroad opportunities, the FIDA program through which faculty and staff can undertake study abroad programs, faculty exchange opportunities through our international partner institutions, Fulbright opportunities, serving as faculty advisors for international undergraduate and graduate students and incorporating international dimensions into courses and research projects. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/spring2007/whiteman,whiteman
Overconfidence and Some Behavioral Consequences,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Overconfidence and Some Behavioral Consequences&quot;</h1>
 <div class=""bodyCopy"">
   November 18th&nbsp;
  <br />Jeff Bailey - Business &amp; Economics 
  <br />
  <br />Abstract: In many situations, people tend to be overconfident in their beliefs and judgments. In this colloquium, I will show that there are three main ways in which overconfidence has been defined and investigated. The three forms of overconfidence to be discussed are embodied in Lake Wobegon effects, over-estimation effects, and over-precision effects. Overconfidence is often associated with serious, negative behavioral consequences. Why then, is this judgment error so persistent? Overconfidence also has some positive consequences for both individuals and groups. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/bailey,bailey
Studying Bovine Mastitis: How Can That Help Us Understand Human Toxic-Shock Syndrome and Staphylococcal Food Poisoning,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Studying Bovine Mastitis: How Can That Help Us Understand Human Toxic-Shock Syndrome and Staphylococcal Food Poisoning&quot;</h1>
 <div class=""bodyCopy"">
   November 4th&nbsp;
  <br />Gregory Bohach - Microbiology, Molecular Biology, and Biochemistry 
  <br />
  <br />Abstract: Staphylococcus aureus is an important pathogenic bacterium for humans as well as a variety of animals. Recently, it has received renewed public attention because of the occurrence of highly virulent strains within communities that are resistant to methicillin. In a typical year, S. aureus causes up to 9 million treated human infections with an economic impact of nearly $7 million. In addition, S. aureus is the leading agent of bovine mastitis, an infectious disease that causes $2 billion in lost revenue to the dairy industry in the U.S. alone. 
  <br />
  <br />We have been interested in understanding the role of protein exotoxins produced by staphylococci and related organisms. In particular, a group of toxins known as superantigens are recognized for their large-scale activation of the immune system. This property is responsible for their ability to cause a serious disease known as toxic shock syndrome as well as staphylococcal food poisoning. Interestingly, many strains of S. aureus, including those that colonize humans and animals, produce one or more superantigens. Considering their widespread occurrence, we have been exploring the hypothesis that 'superantigen production by bacteria causes an effect on the immune system that down regulates local immunity and promotes colonization and/or persistence'. 
  <br />
  <br />Using a variety of animal models, we have confirmed that the toxins repress the immune response, including to S. aureus. Several cell types, consistent with immunosuppression, are induced in vitro and in vivo. In addition, bacteria that express superantigens are more able to colonize and cause infections compared to isogenic strains in which the toxin genes are deleted. Combined, these results indicate that a selective advantage is provided to bacteria capable of expressing superantigens. The well-known ability of superantigens to induce severe shock-like symptoms in toxic shock syndrome and other adverse effects are likely secondary effects of the immunosuppression. The occurrence of these severe secondary effects also suggests that S. aureus likely acquired these toxin genes relatively recently. If so, it is also likely that further co-evolution of the bacteria with their respective hosts will lead to toxins that are more efficient at inducing immunosuppression and less likely to induce shock. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/bohach,bohach
Fall 2008,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">Fall 2008</h1>
 <div class=""bodyCopy""> 
  <u>
   September 9 
   <br />
  </u> 
  <a href=""http://www.uidaho.edu/class/history/faculty-staff/richard-spence"" title=""richard-spence"">Rick Spence</a>, History 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/spence"" title=""&quot;On the Track of the Beast: Uncovering Aleister Crowley's Intelligence Connections&quot; "">On the Track of the Beast: Uncovering Aleister Crowley’s Intelligence Connections <br /></a>
  <br />
  <u>
   September 16 
   <br />
  </u>
  <a href=""http://www.uidaho.edu/sci/math/faculty/stevekrone"" title=""Steve Krone"">Steve Krone</a>, Mathematics and Initiative for Bioinformatics and Evolutionary Studies&nbsp;
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/krone"" title=""&quot;How Many Biologists Does It Take to Change a Mathematician?&quot; "">How Many Biologists Does It Take to Change a Mathematician?</a> 
  <br />
  <br />
  <u>
   September 23
  </u> 
  <br />Daniel G. Strawn, Plant, Soil, and Entomological Sciences 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/strawn"" title=""&quot;The Fate of Lead and Zinc in Soils Down-river from Mining Occurring in the Coeur d’Alene River Valley&quot;"">The Fate of Lead and Zinc in Soils Down-river from Mining Occurring in the Coeur d’Alene River Valley </a>
  <br />
  <br />
  <u>
   September 30
  </u> 
  <br />
  <a href=""http://www.uidaho.edu/engr/cs/faculty/bobrinker"" title=""Bob Rinker"">Bob Rinker</a>, Computer Science 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/rinker"" title=""&quot;The History and Technology of the Hammond and other Electronic Organs&quot; "">The History and Technology of the Hammond and other Electronic Organs </a>
  <br />
  <br />
  <u>
   October 7 
   <br />
  </u>Linda Morris, Business and Economics; 
  <br />Gene Merrill, University Research and Technology Transfer 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/morris"" title=""&quot;Ideas, Innovations, and Entrepreneurship&quot;"">Ideas, Innovations, and Entrepreneurship <br /></a>
  <br />
  <u>
   October 14
  </u> 
  <br />
  <a onclick=""_gaq.push(['_trackPageview','/exit//404.aspx?item=web%3a%7bACFDADCE-03C6-4840-B929-78FB34F35F7B%7d%40en']);"" href=""http://www.uidaho.edu/404.aspx?item=web%3a%7bACFDADCE-03C6-4840-B929-78FB34F35F7B%7d%40en"" title=""Melanie-Angela Neuilly "">Melanie-Angela Neuilly</a>, Sociology, Anthropology, and Justice Studies 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/neuilly"" title=""&quot;Do Dead People Speak Different Languages: An Interdisciplinary S&eacute;ance&quot;"">Do Dead People Speak Different Languages: An Interdisciplinary S&eacute;ance <br /></a>
  <br />
  <u>
   October 21
  </u> 
  <br />
  <a href=""http://www.uidaho.edu/cnr/frfs/laurenfins"" title=""Lauren Fins"">Lauren Fins</a>, Forest Resources 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/fins"" title=""&quot;The Natural History and Culture of Chocolate&quot;"">The Natural History and Culture of Chocolate <br /></a>
  <br />
  <u>
   October 28 
   <br />
  </u>James Murphy, Lionel Hampton School of Music 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/murphy"" title=""&quot;2001: A Film Music Odyssey&quot;"">2001: A Film Music Odyssey </a>
  <br />
  <br />
  <u>
   November 4
  </u> 
  <br />Gregory Bohach, Microbiology, Molecular Biology, and Biochemistry 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/bohach"" title=""&quot;Studying Bovine Mastitis: How Can That Help Us Understand Human Toxic-Shock Syndrome and Staphylococcal Food Poisoning&quot;"">Studying Bovine Mastitis: How Can That Help Us Understand Human Toxic Shock Syndrome and Staphylococcal Food Poisoning? </a>
  <br />
  <br />
  <u>
   November 11 
   <br />
  </u>
  <a href=""http://www.uidaho.edu/caa/architecture/faculty/randallteal"" title=""Randall Teal"">Randall Teal</a>, Architecture &amp; Interior Design 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/teal"" title=""&quot;In the Mood: Creating Architectural Atmospheres&quot;"">In the Mood: Creating Architectural Atmospheres <br /></a>
  <br />
  <u>
   November 18
  </u> 
  <br />
  <a href=""http://www.uidaho.edu/cbe/business/jeffbailey"" title=""Jeff Bailey"">Jeff Bailey</a>, Business 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/bailey"" title=""&quot;Overconfidence and Some Behavioral Consequences&quot;"">Overconfidence and Some Behavioral Consequences <br /></a>
  <br />
  <u>
   December 2 
   <br />
  </u>
  <a href=""http://www.uidaho.edu/class/theatre/kellyquinnett"" title=""Kelly Quinnett"">Kelly Quinnett</a>, Theatre and Film 
  <br />
  <a href=""http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/quinnett"" title=""&quot;The Art of Stage Kissing&quot; "">The Art of Stage Kissing </a>
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008,fall2008
The Natural History and Culture of Chocolate,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;The Natural History and Culture of Chocolate&quot;</h1>
 <div class=""bodyCopy"">
   October 21st&nbsp;
  <br />Lauren Fins - Forest Resources 
  <br />
  <br />Abstract: Money may not grow on trees, but chocolate does...and chocolate is big business. In 2004, the world consumed almost 12 billion pounds of chocolate confections, 29% of which was consumed by Americans at an average of almost 12 pounds of chocolate per person per year. The source of this gustatory delight, the chocolate tree (Theobroma cacao), originated in the upper Amazon basin, but is grown for commercial chocolate production in tropical regions around the globe. It is a small, broad-leaved, evergreen botanical wonder that is very particular about temperature and moisture, grows best in the damp and shaded understory of tropical rainforests, and generally refuses to produce its seed-containing pods beyond 20&ordm; from the equator. Its flowers are pollinated by midges that live in litter beneath the forest canopy. 
  <br />
  <br />Chocolate trees can be grown sustainably under the shade of taller fruit-producing trees, such as citrus species, but they are often grown in single-species production plantations where native forests have been cleared, where large doses of fertilizer and pesticides are used on a regular basis, and where slave and child labor reduce costs to candy producers who sell chocolate confections at very low prices. This presentation will examine T. cacao through a variety of lenses...from seed to confection...from the &quot;botany of desire&quot; to the social implications of indulgence. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/fins,chocolate
How Many Biologists Does It Take to Change a Mathematician?,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;How Many Biologists Does It Take to Change a Mathematician?&quot; </h1>
 <div class=""bodyCopy"">
   September 16th 
  <br />Steve Krone - Mathematics and Initiative for Bioinformatics and Evolutionary Studies 
  <br />
  <br />Abstract: Interactions between mathematicians and biologists (and others) are central to the success of UI's Initiative for Bioinformatics and Evolutionary Studies (IBEST). More generally, such interactions are changing and enriching both biology and mathematics. I will discuss some of my own experiences and observations from the interdisciplinary arena. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/krone,krone
"Ideas, Innovations, and Entrepreneurship",2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Ideas, Innovations, and Entrepreneurship&quot;</h1>
 <div class=""bodyCopy"">
   October 7th&nbsp;
  <br />Linda Morris - Business &amp; Economics and VIEW Entrepreneurship Program 
  <br />Gene Merrell - University Research and Technology Transfer 
  <br />
  <br />Abstract: University research is a key component in our nation's innovative capacity. However, the process of moving technologies from the research laboratory to the marketplace is often inefficient and complex after sponsored funding ends. The sponsored funding provides initial support to formulate and test the idea, but falls short of a funding period for testing and revision of workable prototypes. Our intent is to introduce the idea of gap funding or &quot;proof of concept&quot; funding via support through the UI Foundation. The Idaho Innovation Fund would support researchers in analysis of the business idea via a collaborative effort with the Vandal Innovation and Enterprise Works (VIEW) Entrepreneurship Program and the UI Office of Technology Transfer. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/morris,morris
2001: A Film Music Odyssey,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;2001: A Film Music Odyssey&quot;</h1>
 <div class=""bodyCopy"">
   October 28th&nbsp; 
  <br />James Murphy - Lionel Hampton School of Music 
  <br />
  <br />Abstract: Music is very important to the total impact of the art form we know as film. Years of work and millions of dollars are invested in the production of a major motion picture and yet its music is often changed at the last moment. This audio-visual presentation will explore some of the fundamentals of film music and highlight some segments of Alex North's discarded score for Kubrik's 2001: A Space Odyssey. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/murphy,murphy
Do Dead People Speak Different Languages: An Interdisciplinary Séance,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;Do Dead People Speak Different Languages: An Interdisciplinary S&eacute;ance&quot;</h1>
 <div class=""bodyCopy"">
   October 14th&nbsp;
  <br />Melanie-Angela Neuilly - Sociology, Anthropology, and Justice Studies 
  <br />
  <br />Abstract: Even though death is inevitable, it could be argued that it is not universal. For example, whereas French people are seemingly incredibly clumsy, Americans are world-renown for their blood-thirst (lethal non-motor vehicle accident rates in France are close to double that of the United States, while homicide rates in the U.S. can be as much as ten times those of France). Having spent some time with the dead in France and in the United States, the author has begun to disentangle the complex net of constructions at play in mortality statistics. In doing so, she has had to put on a variety of disciplinary hats, be they from the legal field, political science, medicine, sociology, anthropology, criminology, or psychology. Some may have fit better than others, but in the end, the answer was clear: Dead people do speak different languages. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/neuilly,neuilly
The Art of Stage Kissing,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;The Art of Stage Kissing&quot; </h1>
 <div class=""bodyCopy"">
   December 2nd 
  <br />Kelly Quinnett - Theatre and Film 
  <br />
  <br />Abstract: Exploring intimacy through the craft of acting. How truthful can you really get? How is one stirred emotionally but able to craft through the world of a play. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/quinnett,quinnett
The History and Technology of the Hammond and other Electronic Organs,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;The History and Technology of the Hammond and other Electronic Organs&quot; </h1>
 <div class=""bodyCopy"">
   September 30th 
  <br />Bob Rinker - Computer Science 
  <br />
  <br />Abstract: The Hammond Organ sound has become an icon in the world of Rock and Jazz music. It is as popular today as it has ever been. While it is easy to replicate &quot;the sound&quot; today using sophisticated Digital Signal Processing, &quot;back in the day&quot; (the 1930's!) the sound was created electromechanically and amplified with tubes. Many people are familiar with the sounds, but they don't understand or appreciate the very &quot;old school&quot; technology used in their creation (motors, tonewheels and tube amps!). We will discuss the history of the original technology, focusing on the original Hammond tonewheel organ, and continue the history through the keyboards of today. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/rinker,rinker
On the Track of the Beast: Uncovering Aleister Crowley's Intelligence Connections,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;On the Track of the Beast: Uncovering Aleister Crowley's Intelligence Connections&quot; </h1>
 <div class=""bodyCopy"">
   September 9th 
  <br />Rick Spence - History 
  <br />
  <br />Abstract: Aleister Crowley, the self-proclaimed Great Beast 666, attained his greatest fame, or infamy, as the preeminent occultist of the 20th century. However, Crowley also played another, and heretofore unappreciated, role during his long career (1875-1947): informer, provocateur and all-around asset for British intelligence. Professor Spence will describe how he negotiated the peculiarities and pitfalls of researching in a &quot;culture of secrecy&quot;--intelligence agencies and occult organizations--to reveal Crowley's hidden exploits. He'll also discuss how Crowley's activities fit a wider pattern of intertwining connections between the occult and secret services. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/spence,spence
The Fate of Lead and Zinc in Soils Down-river from Mining Occurring in the Coeur d’Alene River Valley,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;The Fate of Lead and Zinc in Soils Down-river from Mining Occurring in the Coeur d’Alene River Valley&quot;</h1>
 <div class=""bodyCopy"">
   September 23rd&nbsp;
  <br />Daniel G. Strawn - Plant, Soil, and Entomological Sciences 
  <br />
  <br />Abstract: The Fate of Lead and Zinc in Soils Down-river from Mining Occurring in the Coeur d’Alene River Valley The lower Coeur d’Alene (CDA) River Basin floodplain lies downstream of Idaho’s historic Silver Valley, one of the richest lead and silver mining regions in the world, and now one of the largest Superfund sites in the U.S. The Basin encompasses 19,200 acres, of which 95% have Pb, As, Cd, and Zn concentrations that exceed the EPA’s cleanup criteria, due to alluvial deposition of mine tailings and mill wastes. Contaminants in the soils have caused waterfowl mortality, decreases in aquatic species populations and diversity, and metal leaching to river and groundwater. The region hosts rural communities, includes tribal lands, several thousand acres of agriculture land, and is a recreational attraction. Thus metal-contaminated soils within the CDA Basin pose significant human exposure risks. 
  <br />
  <br />In this presentation an overview of the contaminant cycling in the soils developing in the CDA basin will be presented. Because soils are integral components of the ecosystem, the fate of the contaminants and potential toxicity is dependent on their speciation in the soils. In the soil chemistry laboratory we are currently investigating the speciation of Pb and Zn in these soils, and assessing their relative solubility, which controls transport and bio-uptake. We are discovering that Pb and Zn are intimately associated with iron and manganese oxide solid phases. Our results will allow land and resource managers to do better risk management and more efficiently implement remediation. 
  <br />
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/strawn,strawn
In the Mood: Creating Architectural Atmospheres,2008/09,"<div class=""centerColumn heightMatch""> 
 <h1 class=""PageTitle "">&quot;In the Mood: Creating Architectural Atmospheres&quot;</h1>
 <div class=""bodyCopy"">
   November 11th&nbsp;
  <br />Randall Teal - Art &amp; Architecture 
  <br />
  <br />Abstract: Architectural drawing did not fully emerge until the Renaissance. When it did, it proved to be beneficial to architects because it allowed them to explore and develop building designs on paper before anything was actually built. However, this “progress” also had its drawbacks, in that it also enabled designers to become detached from the buildings they were representing. As a consequence, bodily experience of the built environment was frequently forgotten. The effects of this loss can still be felt today in our cities which are regularly populated by objects that are less buildings than they are built drawings. Following in this legacy it becomes important that designers remember that a building is a three dimensional space for human encounter and not merely a formal composition. 
  <br />
  <br />Reestablishing human encounter in architectural representation begins with an understanding that when people enter a place, they experience it primarily as a mood in which they are immersed, and only secondarily as the actual elements that comprise this mood. Drawing on writings in philosophy and architectural theory, as well as examples of exercises that I use in my architectural studio courses, I will explore the challenges presented by architectural representation, and how mood can easily get lost when representation and building become undifferentiated in the designer’s mind. I will also suggest how viewing architecture as an embodied experience or atmosphere points the way toward a more holistic way of approaching design. 
  <br />
  <br />
 </div> 
</div>",http://www.uidaho.edu/class/mric/archives/pre-2010/fall2008/teal,teal
